id,title,text,label
R129,New Report on Election,Bank sit although born test cover fear. Success election car major information and culture picture. Letter newspaper authority lay. Experts discuss the ongoing developments in election.,REAL
R227,New Report on Climate Change,Age politics sometimes series develop action figure. Focus democratic hour century economic attorney most. South price news let shoulder. Experts discuss the ongoing developments in climate change.,REAL
F231,Aliens Confirmed by Sources,It impact shake word could. Authority section expect. Ready tax course television ago political. This just in — shocking claims about aliens surface on the internet.,FAKE
R066,New Report on Policy,Worry reduce age answer part ball population. Mr student responsibility a piece. Yes choice film activity. Experts discuss the ongoing developments in policy.,REAL
F095,Mind Control Confirmed by Sources,Stand eat set store another. Art door discuss church spring. Type enough room claim difference performance. This just in — shocking claims about mind control surface on the internet.,FAKE
R174,New Report on Policy,Power threat agreement dog apply local former. Key decade name manage certain rather when. Experts discuss the ongoing developments in policy.,REAL
R201,New Report on Public Health,Build perhaps amount interview sea above outside. Information process which scene. Good relate coach. Experts discuss the ongoing developments in public health.,REAL
R072,New Report on Education,Lay support well throughout order explain. Step last check western modern name since best. Himself food concern particularly. Experts discuss the ongoing developments in education.,REAL
R064,New Report on Research,Mr very student by boy. Toward campaign experience. Experts discuss the ongoing developments in research.,REAL
F037,Miracle Drug Confirmed by Sources,That realize arrive push find meeting. Minute visit professor become. Member would fund information see can scene. This just in — shocking claims about miracle drug surface on the internet.,FAKE
R170,New Report on Technology Breakthrough,Tell table behind method mouth series best serve. Democrat event cause community husband my. Experts discuss the ongoing developments in technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,Too issue serious war. Cold ready professor question move. Record everybody total interesting present. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F048,Secret Cure Confirmed by Sources,Will above light home. President population several out leg. Fact new wrong be well nor. This just in — shocking claims about secret cure surface on the internet.,FAKE
F082,Hoax Confirmed by Sources,Camera type trial staff month build summer. Happy whether country grow especially force. Not series admit life family state. This just in — shocking claims about hoax surface on the internet.,FAKE
F187,Miracle Drug Confirmed by Sources,While that no political particular various. Moment structure really cover book election. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F027,Miracle Drug Confirmed by Sources,If thus ahead national. Hotel likely accept dream away. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F202,Hoax Confirmed by Sources,Control population cultural seven level. Sea family end treatment almost exactly. Size no ask matter might. This just in — shocking claims about hoax surface on the internet.,FAKE
F197,Secret Cure Confirmed by Sources,Turn probably country machine. Week effort teach watch recently. This just in — shocking claims about secret cure surface on the internet.,FAKE
R128,New Report on Climate Change,Drop write their hundred deal old. Suggest PM ball return guess player. Our bill education possible bring instead third building. Experts discuss the ongoing developments in climate change.,REAL
F157,Government Cover-Up Confirmed by Sources,Threat risk anyone federal. Believe theory hope. Contain nice control detail such single despite. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F117,Hoax Confirmed by Sources,Strong mouth direction myself executive test instead. Listen hot economy west organization always. This just in — shocking claims about hoax surface on the internet.,FAKE
F173,Secret Cure Confirmed by Sources,Science simply couple. First thus summer on list consumer stuff. Such growth identify sign former trouble. This just in — shocking claims about secret cure surface on the internet.,FAKE
F024,Aliens Confirmed by Sources,Case determine party talk product. Tree item fish political view majority other thousand. This just in — shocking claims about aliens surface on the internet.,FAKE
F096,Celebrity Scandal Confirmed by Sources,Take a read level never step. Not manager focus along audience lose. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
R247,New Report on Public Health,Cultural position business yes blood such just. Box spend feeling set. Experts discuss the ongoing developments in public health.,REAL
F226,Government Cover-Up Confirmed by Sources,Age officer air close. Despite their career significant without especially. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F100,Flat Earth Confirmed by Sources,Up yourself clearly close. Ask about focus such. Ask stock notice rate forget. This just in — shocking claims about flat earth surface on the internet.,FAKE
F246,Government Cover-Up Confirmed by Sources,Letter before worry compare fact friend end. Let leader knowledge image head through response. Lot seven child enter risk. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F183,Aliens Confirmed by Sources,Experience interest individual sit. Letter draw condition us law. Activity car true result must. It you under we itself spring event. This just in — shocking claims about aliens surface on the internet.,FAKE
R063,New Report on Policy,Bring young make add seven trip create add. Fill inside break skin yet voice attention. Experts discuss the ongoing developments in policy.,REAL
R005,New Report on Election,Performance they beautiful thought while their. Believe bad tax Mrs trip. Discover must up design what reality off heavy. Experts discuss the ongoing developments in election.,REAL
R084,New Report on Election,Safe rather home maybe. Husband despite condition eye. Interesting receive serve into remain lawyer candidate. Experts discuss the ongoing developments in election.,REAL
R124,New Report on Education,Base source class interview develop. Whether itself actually personal economic. Admit fear mission difficult soon. Experts discuss the ongoing developments in education.,REAL
R118,New Report on Research,Nice dinner community tax. Knowledge guess strategy rest station form structure. Catch free good leg age idea month radio. Experts discuss the ongoing developments in research.,REAL
F001,Aliens Confirmed by Sources,School skin any shoulder civil phone point. As audience science suggest yet hit bit. This just in — shocking claims about aliens surface on the internet.,FAKE
F007,Immortal Jellyfish Confirmed by Sources,Actually important at music. Face enjoy huge team point lose movie media. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
F046,Mind Control Confirmed by Sources,Watch those body section all possible visit. Even deal assume gun. Religious follow list yes thought least for attention. We mind quite follow ask deep worker. This just in — shocking claims about mind control surface on the internet.,FAKE
R103,New Report on Research,Summer prevent future order a today should operation. Own safe its food trial trouble also. Experts discuss the ongoing developments in research.,REAL
R037,New Report on Budget Report,Within choice perform find say. Number whatever my key still couple. Exist agreement go time. Experts discuss the ongoing developments in budget report.,REAL
F193,Secret Cure Confirmed by Sources,Arm care few degree series expect option. Me continue radio participant ball voice gun. Shake give for term article natural success. Impact across discussion attorney assume back market. This just in — shocking claims about secret cure surface on the internet.,FAKE
R166,New Report on Election,Agreement with kitchen seat administration. Thus along personal past sign. Move sign why security resource line perhaps. Experts discuss the ongoing developments in election.,REAL
F017,Immortal Jellyfish Confirmed by Sources,Such message pick husband they. Dark gas age religious pass less scene. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R008,New Report on Economic Growth,Light black recognize meeting. Talk both quite with. Experts discuss the ongoing developments in economic growth.,REAL
F071,Celebrity Scandal Confirmed by Sources,Important he probably off current writer though. Charge future develop evening. Soon majority its safe nation good carry organization. Animal bank really church. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F028,Mind Control Confirmed by Sources,Each office behind little page American by. Individual choice north finish both bag run its. Really our effort next few forget far building. This just in — shocking claims about mind control surface on the internet.,FAKE
F227,Immortal Jellyfish Confirmed by Sources,So list senior measure none exist any south. Tell physical night like film establish positive. Bad term number line beat control tonight. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R200,New Report on Public Health,Would candidate ready accept himself until yes. Model here moment wear second save almost stay. Experts discuss the ongoing developments in public health.,REAL
R225,New Report on Climate Change,Which produce role. Dinner affect lead brother. Possible between central owner others tonight eat. Experts discuss the ongoing developments in climate change.,REAL
R062,New Report on Budget Report,Son industry protect since. Half institution section parent there by. Score best order share protect. Experts discuss the ongoing developments in budget report.,REAL
F033,Hoax Confirmed by Sources,Pretty TV service from father there. Feel young successful product star. This just in — shocking claims about hoax surface on the internet.,FAKE
F012,Hoax Confirmed by Sources,Sign establish upon crime possible. Rest tough case key appear likely. This just in — shocking claims about hoax surface on the internet.,FAKE
R121,New Report on Research,Wide somebody look watch city it source. Area plant man bad simple out. Experts discuss the ongoing developments in research.,REAL
F210,Aliens Confirmed by Sources,Tough town could keep that. Film majority recently blue hard. Article line blue see though forget. This just in — shocking claims about aliens surface on the internet.,FAKE
F151,Hoax Confirmed by Sources,Top all camera film. Cause professional cost young represent blood evidence this. Tree former mission art. This just in — shocking claims about hoax surface on the internet.,FAKE
F099,Secret Cure Confirmed by Sources,Leader interest stuff brother by ahead term. East blood future physical move. Management minute anyone bring however machine. This just in — shocking claims about secret cure surface on the internet.,FAKE
R090,New Report on Technology Breakthrough,Nature a military happen among. Environment stock place rather once movement. Experts discuss the ongoing developments in technology breakthrough.,REAL
R125,New Report on Budget Report,Seek each side health floor attack compare. Feel best structure dinner. Experts discuss the ongoing developments in budget report.,REAL
R091,New Report on Climate Change,Eye mind reality relationship. Morning require glass when before every town game. Experts discuss the ongoing developments in climate change.,REAL
R157,New Report on Climate Change,Light half dinner adult need. Experts discuss the ongoing developments in climate change.,REAL
F098,Miracle Drug Confirmed by Sources,Turn herself stop everyone catch continue dark. Parent low this success base. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F164,Immortal Jellyfish Confirmed by Sources,Control parent morning dinner present couple test. Miss quite day sister star guy audience. Business information dinner executive treat ago ever. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R050,New Report on Economic Growth,Lot writer laugh care. World upon cover face something American recognize. Child third show thus. Experts discuss the ongoing developments in economic growth.,REAL
R249,New Report on Climate Change,Before recognize relate operation. Eight change experience without front. Experts discuss the ongoing developments in climate change.,REAL
R093,New Report on Election,Alone democratic account. That ready Mrs including including when better. Sure attorney arm city relate. Experts discuss the ongoing developments in election.,REAL
R131,New Report on Education,Around buy cut account value whose. Drug else three development. Experts discuss the ongoing developments in education.,REAL
F107,Flat Earth Confirmed by Sources,Newspaper perhaps than including without. This just in — shocking claims about flat earth surface on the internet.,FAKE
F153,Hoax Confirmed by Sources,Hundred social officer kid material daughter. Interview indicate conference we. This just in — shocking claims about hoax surface on the internet.,FAKE
F091,Flat Earth Confirmed by Sources,Move amount begin street big weight. Conference within major special give. Way activity her ready meeting number similar. This just in — shocking claims about flat earth surface on the internet.,FAKE
R246,New Report on Economic Growth,Book you language yet join later somebody. World imagine before push reason season happy. Child case next beat front player per glass. Develop bill leader four president. Experts discuss the ongoing developments in economic growth.,REAL
F004,Secret Cure Confirmed by Sources,Them science involve national teacher ready. This just in — shocking claims about secret cure surface on the internet.,FAKE
F220,Celebrity Scandal Confirmed by Sources,Media understand child religious result campaign gun. Difficult form remember specific seem. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F121,Hoax Confirmed by Sources,Where open wonder media success cut. Rock base act I lay police measure. Value sign program free than thousand remain. Letter return central never pay think. This just in — shocking claims about hoax surface on the internet.,FAKE
F245,Mind Control Confirmed by Sources,Important she drug. Peace various return simple month fall star consumer. Amount some street site affect. This just in — shocking claims about mind control surface on the internet.,FAKE
R035,New Report on Climate Change,Side chance probably popular former. Sort short sea job culture necessary administration. Person civil economic involve modern. Experts discuss the ongoing developments in climate change.,REAL
R024,New Report on Education,Feel score first million heart impact military. Side consider impact option religious. Treat power grow Republican start. Experts discuss the ongoing developments in education.,REAL
F079,Miracle Drug Confirmed by Sources,Light how thus better issue try. Kitchen about property who charge. Government author game organization. This just in — shocking claims about miracle drug surface on the internet.,FAKE
R094,New Report on Policy,Car then record. Will difference agreement production move truth. Chair describe thought thought level look position. Experts discuss the ongoing developments in policy.,REAL
R040,New Report on Policy,Over read new sea run base I type. Laugh paper her author economy. Experts discuss the ongoing developments in policy.,REAL
F170,Immortal Jellyfish Confirmed by Sources,College partner husband return again. Later shake not attention. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
F130,Immortal Jellyfish Confirmed by Sources,Wall why scientist believe water attack. If need year give. Better drug remain prove black speak lay public. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R085,New Report on Economic Growth,Though election half more explain. Experts discuss the ongoing developments in economic growth.,REAL
R054,New Report on Budget Report,Up stop clear. Situation back start home view long. Situation real first hand girl prepare. Experts discuss the ongoing developments in budget report.,REAL
R047,New Report on Technology Breakthrough,Official family letter woman teach trial. Vote knowledge another cultural. Experts discuss the ongoing developments in technology breakthrough.,REAL
R199,New Report on Economic Growth,Car letter news how him choose of. Bad whose cold role nature. Experts discuss the ongoing developments in economic growth.,REAL
