id,title,filtered_words,label
R129,New Report on Election,"['bank', 'sit', 'although', 'born', 'test', 'cover', 'fear.', 'success', 'election', 'car', 'major', 'information', 'culture', 'picture.', 'letter', 'newspaper', 'authority', 'lay.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R227,New Report on Climate Change,"['age', 'politics', 'sometimes', 'series', 'develop', 'action', 'figure.', 'focus', 'democratic', 'hour', 'century', 'economic', 'attorney', 'most.', 'south', 'price', 'news', 'let', 'shoulder.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F231,Aliens Confirmed by Sources,"['impact', 'shake', 'word', 'could.', 'authority', 'section', 'expect.', 'ready', 'tax', 'course', 'television', 'ago', 'political.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
R066,New Report on Policy,"['worry', 'reduce', 'age', 'answer', 'part', 'ball', 'population.', 'mr', 'student', 'responsibility', 'piece.', 'yes', 'choice', 'film', 'activity.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
F095,Mind Control Confirmed by Sources,"['stand', 'eat', 'set', 'store', 'another.', 'art', 'door', 'discuss', 'church', 'spring.', 'type', 'enough', 'room', 'claim', 'difference', 'performance.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']",FAKE
R174,New Report on Policy,"['power', 'threat', 'agreement', 'dog', 'apply', 'local', 'former.', 'key', 'decade', 'name', 'manage', 'certain', 'rather', 'when.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
R201,New Report on Public Health,"['build', 'perhaps', 'amount', 'interview', 'sea', 'outside.', 'information', 'process', 'scene.', 'good', 'relate', 'coach.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']",REAL
R072,New Report on Education,"['lay', 'support', 'well', 'throughout', 'order', 'explain.', 'step', 'last', 'check', 'western', 'modern', 'name', 'since', 'best.', 'food', 'concern', 'particularly.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']",REAL
R064,New Report on Research,"['mr', 'student', 'boy.', 'toward', 'campaign', 'experience.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
F037,Miracle Drug Confirmed by Sources,"['realize', 'arrive', 'push', 'find', 'meeting.', 'minute', 'visit', 'professor', 'become.', 'member', 'fund', 'information', 'see', 'scene.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
