id,filtered_words,features,label_index
R129,"['bank', 'sit', 'although', 'born', 'test', 'cover', 'fear.', 'success', 'election', 'car', 'major', 'information', 'culture', 'picture.', 'letter', 'newspaper', 'authority', 'lay.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[132,564,899,1058,1176,2887,3238,3556,3614,3674,4506,4687,6104,6586,6946,7615,7779,8190,8645,8982,9462,9545,9828],[4.607168188650764,3.914021008090819,5.523458920524919,3.914021008090819,3.914021008090819,5.523458920524919,3.914021008090819,2.7826188965997183,0.6636465161632473,3.5085558999826545,0.691153161953081,0.691153161953081,3.8187108282864943,4.137164559405029,4.42484663185681,5.117993812416755,3.914021008090819,4.137164559405029,4.270695952029551,4.270695952029551,0.691153161953081,4.42484663185681,3.7316994512968646])",1.0
R227,"['age', 'politics', 'sometimes', 'series', 'develop', 'action', 'figure.', 'focus', 'democratic', 'hour', 'century', 'economic', 'attorney', 'most.', 'south', 'price', 'news', 'let', 'shoulder.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']","(10000,[527,821,1241,1599,1738,2059,2433,3614,3740,3931,4247,4463,4506,4687,4816,4853,5606,5869,5887,6633,7841,8267,8791,9144,9462],[3.914021008090819,2.849310271098391,3.6516567436233283,4.830311739964974,4.42484663185681,2.6902455764687034,4.42484663185681,0.6636465161632473,5.523458920524919,3.4440173788450834,5.523458920524919,3.6516567436233283,0.691153161953081,0.691153161953081,3.7316994512968646,4.42484663185681,4.270695952029551,4.607168188650764,3.4440173788450834,4.137164559405029,4.137164559405029,4.42484663185681,4.42484663185681,2.7200985396183848,0.691153161953081])",1.0
F231,"['impact', 'shake', 'word', 'could.', 'authority', 'section', 'expect.', 'ready', 'tax', 'course', 'television', 'ago', 'political.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[503,650,1176,1896,1972,2180,2603,3519,3652,5850,6557,6587,6968,7281,7876,7936,8219,8338,8713],[0.691153161953081,2.958509563063383,3.914021008090819,4.137164559405029,4.270695952029551,4.137164559405029,5.523458920524919,4.270695952029551,3.914021008090819,0.691153161953081,3.6516567436233283,4.830311739964974,4.270695952029551,0.6832166123573445,4.607168188650764,0.691153161953081,4.607168188650764,0.691153161953081,3.7316994512968646])",0.0
R066,"['worry', 'reduce', 'age', 'answer', 'part', 'ball', 'population.', 'mr', 'student', 'responsibility', 'piece.', 'yes', 'choice', 'film', 'activity.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[2647,3502,3536,3614,3619,4506,4687,5003,5044,6053,6599,6944,7417,7492,8159,8343,8740,8791,9462,9784],[4.607168188650764,4.137164559405029,4.019381523748645,0.6636465161632473,4.270695952029551,0.691153161953081,0.691153161953081,4.019381523748645,3.914021008090819,3.7316994512968646,5.117993812416755,2.8154087194227095,5.523458920524919,4.42484663185681,4.019381523748645,3.7316994512968646,4.270695952029551,4.42484663185681,0.691153161953081,5.523458920524919])",1.0
F095,"['stand', 'eat', 'set', 'store', 'another.', 'art', 'door', 'discuss', 'church', 'spring.', 'type', 'enough', 'room', 'claim', 'difference', 'performance.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']","(10000,[494,503,1208,1273,1596,3184,3526,3614,4748,4847,5342,5850,6886,7184,7276,7281,7854,7866,7936,7963,8338,8937,9183],[4.019381523748645,0.691153161953081,2.661258039595451,4.270695952029551,5.523458920524919,2.7508701982851385,4.270695952029551,0.6636465161632473,4.830311739964974,4.830311739964974,4.019381523748645,0.691153161953081,4.607168188650764,4.270695952029551,4.42484663185681,0.6832166123573445,4.830311739964974,3.914021008090819,0.691153161953081,4.42484663185681,0.691153161953081,3.914021008090819,5.523458920524919])",0.0
R174,"['power', 'threat', 'agreement', 'dog', 'apply', 'local', 'former.', 'key', 'decade', 'name', 'manage', 'certain', 'rather', 'when.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[15,228,2837,3056,3131,3614,4506,4687,6030,6422,6944,7312,7883,8070,8413,9288,9401,9462,9564],[4.270695952029551,4.607168188650764,4.019381523748645,4.270695952029551,3.914021008090819,0.6636465161632473,0.691153161953081,0.691153161953081,4.137164559405029,5.117993812416755,2.8154087194227095,4.42484663185681,4.607168188650764,3.8187108282864943,3.6516567436233283,4.607168188650764,5.117993812416755,0.691153161953081,4.270695952029551])",1.0
R201,"['build', 'perhaps', 'amount', 'interview', 'sea', 'outside.', 'information', 'process', 'scene.', 'good', 'relate', 'coach.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']","(10000,[988,1259,1479,1770,3014,3614,4506,4687,6035,6168,6219,7222,7954,8040,8190,9372,9462,9617],[3.914021008090819,3.914021008090819,5.523458920524919,2.958509563063383,4.137164559405029,0.6636465161632473,0.691153161953081,0.691153161953081,3.383392757028649,4.019381523748645,3.0811118851557153,3.914021008090819,4.830311739964974,4.137164559405029,4.137164559405029,4.270695952029551,0.691153161953081,3.8187108282864943])",1.0
R072,"['lay', 'support', 'well', 'throughout', 'order', 'explain.', 'step', 'last', 'check', 'western', 'modern', 'name', 'since', 'best.', 'food', 'concern', 'particularly.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']","(10000,[15,157,524,1226,1558,1968,2336,3605,3614,3901,3989,4475,4506,4687,5047,5948,6043,6287,8217,8653,9168,9462],[4.270695952029551,3.5085558999826545,3.577548771469606,3.914021008090819,4.607168188650764,4.830311739964974,3.914021008090819,4.607168188650764,0.6636465161632473,3.914021008090819,4.137164559405029,4.270695952029551,0.691153161953081,0.691153161953081,2.6902455764687034,4.137164559405029,4.830311739964974,4.270695952029551,4.607168188650764,4.137164559405029,4.830311739964974,0.691153161953081])",1.0
R064,"['mr', 'student', 'boy.', 'toward', 'campaign', 'experience.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']","(10000,[2072,2647,3194,3536,3614,4506,4687,6675,7066,8046,9462],[4.830311739964974,4.607168188650764,4.42484663185681,4.019381523748645,0.6636465161632473,0.691153161953081,0.691153161953081,3.8187108282864943,2.849310271098391,5.117993812416755,0.691153161953081])",1.0
F037,"['realize', 'arrive', 'push', 'find', 'meeting.', 'minute', 'visit', 'professor', 'become.', 'member', 'fund', 'information', 'see', 'scene.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']","(10000,[503,698,1256,1582,2543,3357,4638,5354,5850,5978,6790,7032,7281,7391,7510,7860,7936,8190,8338,9372,9714],[0.691153161953081,4.270695952029551,3.125563647726549,4.42484663185681,3.4440173788450834,3.914021008090819,4.137164559405029,3.914021008090819,0.691153161953081,4.019381523748645,4.137164559405029,4.830311739964974,0.6832166123573445,3.8187108282864943,3.7316994512968646,2.920769235080536,0.691153161953081,4.137164559405029,0.691153161953081,4.270695952029551,4.607168188650764])",0.0
